AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU11,AU12,AU13,AU14,AU15,AU16,AU17,AU18,AU19,AU20,AU22,AU23,AU24,AU25,AU26,AU27,AU32,AU38,AU39,AUL1,AUR1,AUL2,AUR2,AUL4,AUR4,AUL6,AUR6,AUL10,AUR10,AUL12,AUR12,AUL14,AUR14
0.2825316786766052,0.0758400708436966,0.4898462891578674,0.0926190838217735,0.3194102644920349,0.6446582078933716,0.1157591417431831,0.3378336131572723,0.011290630325675,0.1377088874578476,0.0188304726034402,0.2708766460418701,0.4563263356685638,0.0854661017656326,0.6197404861450195,0.0870163589715957,0.0283351447433233,0.1271023750305175,0.0159801300615072,0.1982809603214264,0.3540486693382263,0.2164050787687301,0.2011669874191284,0.0375843755900859,0.0193147249519824,0.1797478795051574,0.0110747423022985,0.1497250944375991,0.4273092746734619,0.1877356320619583,0.255079835653305,0.0346041768789291,0.0424152053892612,0.1955736428499221,0.0397836118936538,0.1264919340610504,0.0763736814260482,0.0631007105112075,0.0361090935766696,0.4844021499156952,0.0841634571552276
0.2812003493309021,0.0735666528344154,0.4920172095298767,0.0903553366661071,0.3137427866458893,0.6388263702392578,0.1064056903123855,0.3324947953224182,0.0114424377679824,0.1358489990234375,0.0206680633127689,0.2479689121246338,0.4289906024932861,0.0890674144029617,0.5859509706497192,0.0900554582476615,0.0300044734030962,0.1281211078166961,0.0174402706325054,0.188921183347702,0.3285554647445678,0.2203307598829269,0.2045681774616241,0.0415014699101448,0.0193571969866752,0.1810236424207687,0.0112371798604726,0.1521007716655731,0.4364542961120605,0.1920725405216217,0.2684738039970398,0.0378234460949897,0.044754572212696,0.2009685337543487,0.0401767939329147,0.1204615086317062,0.0745012685656547,0.0641982927918434,0.0369297079741954,0.556666910648346,0.0954205468297004
0.2797006964683532,0.0693947076797485,0.4963632524013519,0.0898635536432266,0.310739517211914,0.6382498741149902,0.1057269275188446,0.3301457166671753,0.0115829836577177,0.135101780295372,0.0203204583376646,0.246061235666275,0.4284495711326599,0.0891041308641433,0.5847591161727905,0.0898219645023346,0.0298929903656244,0.1272798180580139,0.0175164360553026,0.1876701861619949,0.3284642398357391,0.220398798584938,0.2029360979795456,0.0415836870670318,0.0193770602345466,0.1805756688117981,0.0113516263663768,0.1524264961481094,0.4362690448760986,0.1908852010965347,0.2664052546024322,0.0373567044734954,0.0444914065301418,0.201818436384201,0.0404127426445484,0.1199932172894477,0.0743100345134735,0.0639444962143898,0.036695335060358,0.5589306354522705,0.095626875758171
0.2861037850379944,0.0805628150701522,0.4918376207351684,0.0969151854515075,0.3064829111099243,0.640465259552002,0.1133411526679992,0.3267412185668945,0.0113524468615651,0.1340905427932739,0.0189243257045745,0.2470839619636535,0.4534788131713867,0.0883757323026657,0.6128190755844116,0.0906215459108352,0.0291593633592128,0.1320129632949829,0.0205317270010709,0.1987034827470779,0.3574587404727936,0.2217204421758651,0.207376480102539,0.042116567492485,0.0197367966175079,0.1841999143362045,0.0093165822327137,0.1503192633390426,0.4329285025596618,0.1942747980356216,0.2667646408081054,0.0350140184164047,0.0416801571846008,0.1809354722499847,0.0448003001511096,0.1299762576818466,0.0774361044168472,0.0651242285966873,0.0357284620404243,0.5442919731140137,0.0885599330067634
0.2862526476383209,0.0800957530736923,0.4918943345546722,0.0941174104809761,0.3048396110534668,0.6408559083938599,0.1134733781218528,0.3263111114501953,0.0113860433921217,0.1338059902191162,0.019158873707056,0.2475244402885437,0.4520530700683594,0.0885091871023178,0.6122684478759766,0.0909810438752174,0.029209230095148,0.1316918432712555,0.0206451639533042,0.1981656998395919,0.3573203086853027,0.2227801382541656,0.2067711055278778,0.0423602387309074,0.0197312161326408,0.1846051663160324,0.0094019621610641,0.1506374031305313,0.4322105646133423,0.1943163573741912,0.2663338184356689,0.0351086147129535,0.0416771620512008,0.1820239722728729,0.044777862727642,0.1303997039794922,0.0774338021874427,0.0652623549103736,0.0358691737055778,0.5448718070983887,0.0888415426015853
0.277251660823822,0.073634073138237,0.4879148602485657,0.0894710347056388,0.3009679615497589,0.636999249458313,0.1105799525976181,0.3230230212211609,0.0118030831217765,0.1349882036447525,0.0228461176156997,0.2471989393234253,0.4261648058891296,0.090312585234642,0.5870702266693115,0.0909724682569503,0.030161015689373,0.132329910993576,0.0186250507831573,0.1908984333276748,0.3602693378925323,0.2184263467788696,0.1985296010971069,0.0469359569251537,0.0200270786881446,0.1831283271312713,0.0113871395587921,0.1537974029779434,0.4433771967887878,0.1945126950740814,0.2775202095508575,0.0388605594635009,0.0480070449411869,0.213899552822113,0.0424032062292099,0.1243832036852836,0.077320210635662,0.0659578964114189,0.0372919924557209,0.5616283416748047,0.0973115414381027
0.2439140379428863,0.0769423395395279,0.484654039144516,0.0869036316871643,0.3068477213382721,0.636675238609314,0.1103454679250717,0.3181554973125458,0.0113607617095112,0.1397396773099899,0.0251631662249565,0.2480228841304779,0.4247582852840423,0.0887162387371063,0.5901089906692505,0.0916267037391662,0.0303101241588592,0.1327260434627533,0.0188565663993358,0.1895991861820221,0.3738200068473816,0.2149304747581482,0.1952467560768127,0.0464589744806289,0.0196683853864669,0.1855668425559997,0.0108411321416497,0.159807950258255,0.4567488431930542,0.1976295709609985,0.2819724678993225,0.039535105228424,0.0505328774452209,0.2224592417478561,0.0425677597522735,0.1236694678664207,0.0783170908689498,0.0666125491261482,0.0375758521258831,0.5629822015762329,0.0993871390819549
0.2621369063854217,0.0809845402836799,0.4953781962394714,0.0934861749410629,0.2964833080768585,0.6237223744392395,0.109038770198822,0.3141816258430481,0.0121823037043213,0.1303270161151886,0.0231049731373786,0.2361656576395034,0.3986777663230896,0.0864396840333938,0.5508633852005005,0.0880477130413055,0.0300177242606878,0.1227403432130813,0.0178320463746786,0.1850566864013672,0.3670856654644012,0.2133126854896545,0.1963642388582229,0.0375462286174297,0.0184136033058166,0.1908661872148513,0.0113281505182385,0.1616096794605255,0.458842396736145,0.19439597427845,0.2764332890510559,0.0397798791527748,0.0436494834721088,0.1918994188308715,0.0446950122714042,0.12498340010643,0.0741707161068916,0.0615492425858974,0.036007571965456,0.5592596530914307,0.0915060341358184
0.2628163695335388,0.0814982056617736,0.4965094029903412,0.0927632749080658,0.2994892001152038,0.6230752468109131,0.107167437672615,0.2859892249107361,0.0122599154710769,0.1312097012996673,0.0232848729938268,0.2375013828277588,0.4312435388565063,0.0866342484951019,0.5520622730255127,0.088681474328041,0.0301123596727848,0.1251371800899505,0.0179236512631177,0.1855032742023468,0.3685801327228546,0.2128249406814575,0.1974981129169464,0.0377232432365417,0.018001090735197,0.1904380023479461,0.0111849093809723,0.1620692014694214,0.4595565497875213,0.1956828832626342,0.2796045839786529,0.040403313934803,0.0443767309188842,0.1949224174022674,0.0452185049653053,0.1173818856477737,0.0575349442660808,0.0623419880867004,0.0361257456243038,0.5578924417495728,0.0916108340024948
0.2691970467567444,0.0691846013069152,0.4881775975227356,0.0883020684123039,0.3313233256340027,0.633306622505188,0.1203079596161842,0.3247377872467041,0.0118296034634113,0.1394930183887481,0.0228582546114921,0.2518572807312011,0.4477840065956116,0.0873895436525344,0.5715218782424927,0.0881372392177581,0.0294903200119733,0.1316374838352203,0.0179923623800277,0.2160852253437042,0.3273533582687378,0.2132938355207443,0.1870579123497009,0.0409910269081592,0.0187482945621013,0.1832067966461181,0.0117720942944288,0.151266261935234,0.4361632466316223,0.1894197762012481,0.265535444021225,0.0364283360540866,0.0415757112205028,0.1951620429754257,0.0429083034396171,0.1266814619302749,0.0762417912483215,0.0650418698787689,0.0380188263952732,0.5455774068832397,0.0892161950469017
