AU1,AU2,AU4,AU5,AU6,AU7,AU9,AU10,AU11,AU12,AU13,AU14,AU15,AU16,AU17,AU18,AU19,AU20,AU22,AU23,AU24,AU25,AU26,AU27,AU32,AU38,AU39,AUL1,AUR1,AUL2,AUR2,AUL4,AUR4,AUL6,AUR6,AUL10,AUR10,AUL12,AUR12,AUL14,AUR14
0.3137216567993164,0.1133873015642166,0.4655731916427612,0.0830506682395935,0.4335930645465851,0.5640439391136169,0.0818478912115097,0.4457510411739349,0.0223977975547313,0.1976607739925384,0.0174571331590414,0.3005099296569824,0.1888071596622467,0.0624826364219188,0.4156938195228576,0.0743334740400314,0.0358110852539539,0.1267334073781967,0.0944064259529113,0.1063956618309021,0.0777414143085479,0.4013642966747284,0.2219777107238769,0.1535468399524688,0.0627944767475128,0.1680577099323272,0.0400953404605388,0.2476286888122558,0.2453589737415313,0.3444478511810303,0.1775209307670593,0.0579030998051166,0.0443421229720115,0.079239398241043,0.0364287421107292,0.0996804684400558,0.0954430997371673,0.0969159454107284,0.0536180734634399,0.4076028764247894,0.1212642341852188
0.3042665719985962,0.1068296059966087,0.4439908862113952,0.0933424159884452,0.4048580527305603,0.5773571729660034,0.089237704873085,0.4334439635276794,0.024163618683815,0.179211288690567,0.0205362271517515,0.287145048379898,0.1793389320373535,0.0670418888330459,0.4175631701946258,0.0828454419970512,0.0371121689677238,0.1360566020011901,0.0964562445878982,0.107501782476902,0.084786333143711,0.4234170615673065,0.2278722524642944,0.1541541516780853,0.0756535977125167,0.1752682328224182,0.058166641741991,0.2583240866661072,0.2732374668121338,0.3509438335895538,0.193995326757431,0.0628356710076332,0.0524356588721275,0.0819978863000869,0.0349576659500598,0.1006384640932083,0.0853362083435058,0.103315345942974,0.0541189424693584,0.4284934401512146,0.1289066970348358
0.3040215075016022,0.1104716211557388,0.4447691142559051,0.0933976396918296,0.3955040872097015,0.5670481324195862,0.0880753099918365,0.4187334775924682,0.0242236405611038,0.1718451082706451,0.0195126142352819,0.2873342931270599,0.1767816245555877,0.0663940533995628,0.4158505201339721,0.0820619761943817,0.0368718579411506,0.1319039762020111,0.0976260751485824,0.1070679426193237,0.0857267081737518,0.410709798336029,0.2253194004297256,0.1515697538852691,0.0657678171992302,0.1758946776390075,0.0596816800534725,0.2609937191009521,0.2723637819290161,0.3578341901302337,0.1922460347414016,0.0624956935644149,0.0521715059876441,0.0792142152786254,0.0341399200260639,0.0994153618812561,0.0856547951698303,0.1013004258275032,0.0536669790744781,0.4274278581142425,0.1306625008583068
0.3068008422851562,0.0808018445968627,0.3871917724609375,0.0769494473934173,0.3683724999427795,0.5352346897125244,0.0757133588194847,0.41775643825531,0.0158544760197401,0.1958594024181366,0.0136382672935724,0.2867465913295746,0.169035404920578,0.0580092817544937,0.4131448864936828,0.0769812911748886,0.0329352244734764,0.1085192412137985,0.0911493450403213,0.1142086163163185,0.078223168849945,0.3958082199096679,0.2326845973730087,0.1311188638210296,0.0603738017380237,0.1674489974975586,0.039631113409996,0.2619442045688629,0.2358995378017425,0.329816460609436,0.1612663865089416,0.0454813688993454,0.0498330891132354,0.0761451050639152,0.0318265482783317,0.0956612974405288,0.0936231464147567,0.0937793403863906,0.0484542846679687,0.4015140533447265,0.1104130893945694
0.3062243163585663,0.0814078003168106,0.3870397210121155,0.0773601680994033,0.3682440519332886,0.5344541668891907,0.075895145535469,0.4169887602329254,0.0159504693001508,0.1952464282512664,0.0136044602841138,0.2864040434360504,0.1689470261335373,0.0582841075956821,0.4128392338752746,0.0771255865693092,0.0328767374157905,0.1084000170230865,0.0913779884576797,0.1140328794717788,0.0783221125602722,0.3951728940010071,0.2319908142089843,0.1316905915737152,0.0608567148447036,0.1675710827112198,0.0399026721715927,0.2623555064201355,0.2356889545917511,0.3308053612709045,0.1611234694719314,0.0457288771867752,0.0499209091067314,0.075797326862812,0.0318237915635108,0.0956324860453605,0.0934999287128448,0.0938528180122375,0.0484359823167324,0.4020014107227325,0.1104414835572242
0.3389006853103637,0.0963500440120697,0.4188607931137085,0.0802813321352005,0.3827657997608185,0.5545697212219238,0.0810717046260833,0.4259246289730072,0.0231189038604497,0.2275210320949554,0.0135997785255312,0.2969761490821838,0.1930978298187255,0.0571616701781749,0.40430748462677,0.0693683326244354,0.0336479619145393,0.1107774749398231,0.0894071161746978,0.1072225123643875,0.0663762986660003,0.4049188494682312,0.2569314539432525,0.1311463415622711,0.051532182842493,0.1320505142211914,0.0382506661117076,0.256761372089386,0.2090262919664383,0.3274556994438171,0.1439465433359146,0.0554466471076011,0.0493803992867469,0.0693748667836189,0.0307025834918022,0.0909077525138855,0.076445072889328,0.0892357155680656,0.0453099012374877,0.4104017615318298,0.1180028319358825
0.3396928906440735,0.1169319450855255,0.4082697033882141,0.0773967802524566,0.3933789432048797,0.5444966554641724,0.0746503621339798,0.4172132611274719,0.0185257755219936,0.2145567834377288,0.0119180362671613,0.2917969524860382,0.198446899652481,0.0551891960203647,0.3991970121860504,0.0658457279205322,0.0313148275017738,0.1105721890926361,0.0854377448558807,0.1082276031374931,0.0768919736146926,0.3854506015777588,0.2458495199680328,0.1268190145492553,0.0530824437737464,0.1579881608486175,0.0332859307527542,0.2605288624763489,0.2297233343124389,0.3370452523231506,0.1739713847637176,0.0423247367143631,0.045341283082962,0.0663382336497306,0.032580267637968,0.0858476683497428,0.0773276016116142,0.0912072733044624,0.0464141145348548,0.378987044095993,0.1007643193006515
0.3372544050216675,0.1306692063808441,0.4054927825927734,0.0848012864589691,0.392246663570404,0.550548791885376,0.0716035068035125,0.4975699782371521,0.024905152618885,0.2258276939392089,0.0141183901578187,0.2916069626808166,0.2011359930038452,0.060247603803873,0.3647241592407226,0.0731048583984375,0.031882781535387,0.1086896732449531,0.0923596248030662,0.0976759791374206,0.0651868283748626,0.4164510071277618,0.2643335461616516,0.1273665577173233,0.0515930168330669,0.1474029421806335,0.033419594168663,0.2581689357757568,0.2043628394603729,0.3241775333881378,0.1530016362667083,0.0499724112451076,0.0438770577311515,0.0655857026576995,0.0300469659268856,0.1072824746370315,0.0948385447263717,0.0901334658265113,0.0432331636548042,0.3735468089580536,0.1052981466054916
0.337752491235733,0.130442589521408,0.4061231017112732,0.0847351178526878,0.3928071856498718,0.5514587163925171,0.0716252028942108,0.4985737204551697,0.0248316098004579,0.22593455016613,0.0140803316608071,0.2919718325138092,0.2010681331157684,0.0601809546351432,0.3649723827838897,0.0731025338172912,0.0318956226110458,0.1088297516107559,0.0921936705708503,0.0976494178175926,0.0650682896375656,0.4169315993785858,0.2653944492340088,0.12763312458992,0.0516282841563224,0.1471189558506012,0.0333436280488967,0.2577711343765259,0.2045222967863083,0.3238821029663086,0.153094545006752,0.0498877987265586,0.043615810573101,0.0656706169247627,0.03007672727108,0.1071720272302627,0.0948604494333267,0.09012021869421,0.0432483628392219,0.3728974461555481,0.104933463037014
0.3486223220825195,0.1375160068273544,0.3832525610923767,0.0755772590637207,0.3561128377914428,0.5673628449440002,0.0760780125856399,0.495854377746582,0.019502829760313,0.2318211495876312,0.0131290014833211,0.2919422388076782,0.1958726048469543,0.0603278577327728,0.3719787895679474,0.0767365992069244,0.0318791382014751,0.115184411406517,0.0853166654706001,0.0953393578529357,0.0671714171767234,0.4201902747154236,0.2537804841995239,0.0884763672947883,0.0473569445312023,0.139500230550766,0.0339579693973064,0.2603147029876709,0.1976566910743713,0.3081737160682678,0.1615751385688781,0.0525158643722534,0.0505973286926746,0.0750676691532135,0.0282280258834362,0.1114344149827957,0.0960302948951721,0.0911452174186706,0.0441406890749931,0.3892251253128052,0.1153822317719459
