timestamp,x,y,l_x,l_y,r_x,r_y,pupil_l,pupil_r,event_type,fixation_x,fixation_y,event_duration,fixation_id,merged,event_id,aoi_type,aoi,aoi_id
0.0,1278.0879974365232,699.789490699768,0.4890844225883484,0.5180661678314209,0.4992531239986419,0.4859649240970611,3.490203857421875,3.1108856201171875,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
4.0,1276.7694854736328,718.9455699920654,0.4948846697807312,0.5149619579315186,0.4987380802631378,0.4992677569389343,3.4770050048828125,3.1468505859375,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
8.0,1270.1825714111326,711.1282825469971,0.4932032823562622,0.5079715847969055,0.4961650669574737,0.4938390851020813,3.4833984375,3.1248016357421875,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
12.0,1272.8253936767578,696.2951517105101,0.4909549653530121,0.50770103931427,0.4971974194049835,0.4835382997989654,3.479354858398437,3.1211395263671875,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
16.0,1271.0895538330078,721.0698795318604,0.4907321631908417,0.5189140439033508,0.4965193569660187,0.5007429718971252,3.502410888671875,3.1377105712890625,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
20.0,1274.0169525146482,715.1067066192627,0.4912420511245727,0.5023472905158997,0.4976628720760345,0.4966018795967102,3.45770263671875,3.124847412109375,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
24.0,1273.9640808105469,709.667272567749,0.4925000369548797,0.5171060562133789,0.4976422190666199,0.4928244948387146,3.513916015625,3.1355743408203125,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
28.0,1269.1291046142576,700.8237934112549,0.4919459223747253,0.5102629065513611,0.4957535564899444,0.486683189868927,3.4700927734375,3.119735717773437,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
32.0,1263.119659423828,696.0653400421141,0.4921192824840545,0.5119237899780273,0.4934061169624328,0.4833787083625793,3.495880126953125,3.12469482421875,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
36.0,1267.2399139404295,716.3528394699097,0.4926258325576782,0.516951322555542,0.4950155913829803,0.4974672496318817,3.502777099609375,3.152816772460937,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
40.0,1263.2365417480469,704.0087985992432,0.4943552613258362,0.5181922316551208,0.4934517741203308,0.4888949990272522,3.50396728515625,3.1096649169921875,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
44.0,1270.3633117675781,693.9549350738524,0.4931020736694336,0.5120590925216675,0.4962356686592102,0.481913149356842,3.4851837158203125,3.10650634765625,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
48.0,1265.24169921875,730.7377624511719,0.4975290298461914,0.5158679485321045,0.4942350387573242,0.5074567794799805,3.497161865234375,3.159652709960937,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
52.0,1267.2692108154297,694.5939016342162,0.4953694641590118,0.5094806551933289,0.4950270354747772,0.4823568761348724,3.4782867431640625,3.096038818359375,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
56.0,1253.6989593505857,732.3962688446045,0.4970002472400665,0.5072503685951233,0.4897261559963226,0.5086085200309753,3.4896392822265625,3.157440185546875,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
60.0,1259.5431518554688,712.3069953918456,0.4991688132286072,0.5137400031089783,0.4920090436935425,0.4946576356887817,3.4832000732421875,3.122802734375,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
64.0,1260.655517578125,707.2847843170166,0.4976102113723755,0.5180777311325073,0.4924435615539551,0.4911699891090393,3.5185699462890625,3.1339874267578125,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
68.0,1261.3894653320312,707.1516609191895,0.4965465366840362,0.5046452879905701,0.4927302598953247,0.4910775423049927,3.480072021484375,3.1226043701171875,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
72.0,1262.022247314453,726.3795375823975,0.4972974061965942,0.5149976015090942,0.4929774403572082,0.5044302344322205,3.5058746337890625,3.157318115234375,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
76.0,1270.5301666259766,725.3927421569824,0.4944489598274231,0.5124943852424622,0.4963008463382721,0.5037449598312378,3.5083465576171875,3.1538238525390625,Fixation,1266.1571799934684,722.8083238353977,304.0,1.0,True,1,image,,9.0
