timestamp,x,y,l_x,l_y,r_x,r_y,pupil_l,pupil_r,event_type,fixation_x,fixation_y,event_duration,fixation_id,merged,event_id,aoi_type,aoi,aoi_id
0.0,1276.9580841064453,669.3307113647461,0.4758546054363251,0.4787333607673645,0.4988117516040802,0.4648129940032959,3.425689697265625,3.1311187744140625,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
4.0,1280.6004333496094,653.7749290466307,0.4750004112720489,0.4836050271987915,0.5002345442771912,0.4540103673934936,3.41766357421875,3.11065673828125,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
8.0,1277.8929901123047,684.0544939041138,0.4684680700302124,0.4918294847011566,0.499176949262619,0.4750378429889679,3.4381561279296875,3.1398162841796875,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
12.0,1284.6977233886719,670.3467750549316,0.474304586648941,0.4814165234565735,0.5018350481987,0.465518593788147,3.431137084960937,3.1236114501953125,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
16.0,1277.8536987304685,656.437096595764,0.4729800522327423,0.4806124866008758,0.4991616010665893,0.4558590948581695,3.421173095703125,3.128387451171875,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
20.0,1269.0277099609375,642.1790313720702,0.4702609777450561,0.4657917320728302,0.4957139492034912,0.4459576606750488,3.4016265869140625,3.13763427734375,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
24.0,1280.5555725097656,638.82511138916,0.4715499579906463,0.4638451635837555,0.5002170205116272,0.4436285495758056,3.440399169921875,3.1079864501953125,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
28.0,1278.9071655273435,633.6403799057006,0.472773015499115,0.4448410272598266,0.4995731115341186,0.440028041601181,3.4039764404296875,3.113922119140625,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
32.0,1283.80615234375,642.4625301361083,0.4815712869167328,0.445808082818985,0.5014867782592773,0.4461545348167419,3.423431396484375,3.116241455078125,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
36.0,1283.2598876953125,623.0494308471679,0.4783473908901214,0.4344174563884735,0.5012733936309814,0.4326732158660888,3.400604248046875,3.10467529296875,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
40.0,1279.3920135498045,634.9869346618651,0.4785760045051574,0.4288915991783142,0.4997625052928924,0.4409631490707397,3.400543212890625,3.130950927734375,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
44.0,1267.5650024414062,633.4577751159668,0.4738219678401947,0.4321608543395996,0.4951425790786743,0.4399012327194214,3.403671264648437,3.1317138671875,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
48.0,1276.139450073242,636.3846445083618,0.4746334254741668,0.4416948854923248,0.4984919726848602,0.4419337809085846,3.408721923828125,3.1180877685546875,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
52.0,1273.4205627441404,638.1627130508423,0.4759639799594879,0.4431844651699066,0.4974299073219299,0.4431685507297516,3.4224395751953125,3.1081695556640625,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
56.0,1270.244369506836,681.4975547790527,0.4758249521255493,0.4433505833148956,0.4961892068386078,0.4732621908187866,3.4054107666015625,3.160186767578125,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
60.0,1280.5613708496094,646.2124300003051,0.4758767485618591,0.4361866116523742,0.5002192854881287,0.4487586319446563,3.389556884765625,3.1115264892578125,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
64.0,1282.1766662597656,645.2451181411743,0.4783578217029571,0.4388811290264129,0.500850260257721,0.4480868875980377,3.4178009033203125,3.103134155273437,Fixation,1276.8691014531832,650.8740471370185,264.0,1.0,True,1,image,,9.0
