timestamp,x,y,l_x,l_y,r_x,r_y,pupil_l,pupil_r,event_type,fixation_x,fixation_y,event_duration,fixation_id,merged,event_id,aoi_type,aoi,aoi_id
0.0,1290.9342956542969,763.306131362915,0.4998036623001098,0.4612598419189453,0.5042712092399597,0.5300737023353577,2.96466064453125,2.8632965087890625,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
4.0,1290.80078125,762.0236492156982,0.5025490522384644,0.4745365381240845,0.5042190551757812,0.5291830897331238,2.9802398681640625,2.8306427001953125,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
8.0,1291.3212585449219,781.9926738739014,0.5009305477142334,0.4764925837516784,0.5044223666191101,0.5430504679679871,2.9674835205078125,2.8726043701171875,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
12.0,1298.7969970703125,758.4698295593262,0.5032944679260254,0.4706244766712188,0.5073425769805908,0.5267151594161987,2.96466064453125,2.8264312744140625,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
16.0,1286.7472839355469,757.9072952270508,0.5004881024360657,0.4757799208164215,0.502635657787323,0.5263245105743408,2.96923828125,2.806396484375,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
20.0,1285.8210754394531,756.2117099761963,0.4999575912952423,0.4738225936889648,0.5022738575935364,0.525147020816803,2.9507293701171875,2.8279571533203125,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
24.0,1284.3508911132812,763.3348846435547,0.5040423274040222,0.4828466176986694,0.5016995668411255,0.5300936698913574,2.9651641845703125,2.8414306640625,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
28.0,1296.1186218261719,773.0876541137695,0.5016697645187378,0.4700334370136261,0.5062963366508484,0.5368664264678955,2.9871368408203125,2.85174560546875,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
32.0,1285.7545471191406,753.8142013549805,0.4954538941383362,0.4715613126754761,0.5022478699684143,0.523482084274292,2.93072509765625,2.8363800048828125,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
36.0,1287.3051452636719,759.2963790893555,0.5021480917930603,0.4867323935031891,0.5028535723686218,0.5272891521453857,2.9690399169921875,2.833770751953125,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
40.0,1293.3843994140625,760.8722305297852,0.5000399947166443,0.4818885922431946,0.5052282810211182,0.5283834934234619,2.9704132080078125,2.8128204345703125,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
44.0,1288.0583190917969,758.5284519195557,0.5027943253517151,0.4813921451568603,0.5031477808952332,0.5267558693885803,2.976593017578125,2.8255157470703125,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
48.0,1292.4571228027344,757.9248905181885,0.5027472972869873,0.481280654668808,0.5048660635948181,0.5263367295265198,2.961151123046875,2.811386108398437,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
52.0,1290.7708740234375,765.6547164916992,0.5045322775840759,0.4726199805736542,0.5042073726654053,0.5317046642303467,2.9368896484375,2.8237457275390625,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
56.0,1285.1753234863281,753.3368968963623,0.5016270279884338,0.4791067540645599,0.5020216107368469,0.523150622844696,2.9590301513671875,2.8258056640625,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
60.0,1287.0018005371094,755.0255298614502,0.5021405816078186,0.4708635807037353,0.5027350783348083,0.5243232846260071,2.9553680419921875,2.8135223388671875,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
64.0,1287.8379821777344,770.0787734985352,0.5014168620109558,0.471766710281372,0.5030617117881775,0.5347769260406494,2.9447174072265625,2.848052978515625,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
68.0,1280.946044921875,768.5618877410889,0.499997079372406,0.4854066967964172,0.5003695487976074,0.5337235331535339,2.9564666748046875,2.8661041259765625,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
72.0,1282.6850891113281,731.2648487091064,0.5008144974708557,0.4711942672729492,0.5010488629341125,0.5078228116035461,2.961883544921875,2.78656005859375,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
76.0,1286.9163513183594,771.0917472839355,0.50431227684021,0.4865091443061828,0.5027016997337341,0.5354803800582886,2.9765625,2.8675689697265625,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
80.0,1283.7718200683594,765.5518913269043,0.5044597387313843,0.4882961511611938,0.5014733672142029,0.5316332578659058,2.9760284423828125,2.846710205078125,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
84.0,1274.8148345947263,751.5857791900635,0.5025428533554077,0.4713815450668335,0.497974544763565,0.5219345688819885,2.969589233398437,2.8268585205078125,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
88.0,1281.2037658691406,751.8234443664551,0.4998213052749634,0.4773512780666351,0.5004702210426331,0.5220996141433716,2.9283599853515625,2.833251953125,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
92.0,1275.369186401367,754.1752052307129,0.5070587992668152,0.4773488640785217,0.498191088438034,0.5237327814102173,2.9799346923828125,2.8464813232421875,Fixation,1286.6134492850597,758.148053487142,320.0,1.0,True,1,image,,10.0
