anger,disgust,fear,happiness,sadness,surprise,neutral
4.955584e-05,6.2860345e-06,2.5366106e-05,0.00059646234,0.005763246,2.5642703e-05,0.9935335
6.0069255e-05,6.18354e-06,2.2809112e-05,0.000563293,0.0040924023,3.1011903e-05,0.99522424
5.4855434e-05,5.6485246e-06,2.1552038e-05,0.00054091547,0.0041475487,2.567565e-05,0.99520385
6.292574e-05,5.4299853e-06,2.9352908e-05,0.0005233086,0.0056219064,2.8613946e-05,0.9937285
5.9927952e-05,5.315936e-06,2.8001705e-05,0.0005186352,0.005564106,2.7710814e-05,0.99379635
0.00012045458,8.376887e-06,3.2554093e-05,0.00055172906,0.003662458,3.985185e-05,0.99558455
0.000105332554,7.5119965e-06,3.18696e-05,0.00050713646,0.0037588868,4.153346e-05,0.9955478
0.00010249061,7.948246e-06,3.7611928e-05,0.000472618,0.0038983203,3.1892894e-05,0.9954491
0.00010605773,8.051924e-06,3.7216134e-05,0.00048809845,0.003984485,3.2142398e-05,0.995344
0.000115929004,6.7927704e-06,4.3998833e-05,0.00044955744,0.0049568014,3.132378e-05,0.9943956
0.000114677896,6.807422e-06,4.5586276e-05,0.00046150055,0.0050844015,3.06658e-05,0.99425644
0.00012155311,7.6180872e-06,4.120617e-05,0.00046696406,0.0036945324,4.2217674e-05,0.99562585
0.00012141527,8.9517425e-06,4.4904766e-05,0.00048011355,0.0037548903,4.624791e-05,0.99554354
0.00011235245,9.208792e-06,4.9648796e-05,0.00055950944,0.0045100376,5.1101713e-05,0.9947082
0.00011359332,8.892608e-06,4.8625603e-05,0.0005450075,0.004245015,5.4086056e-05,0.99498475
0.0001173121,6.7586584e-06,4.438623e-05,0.0005322146,0.004784321,3.6901147e-05,0.9944781
0.00010960663,6.596359e-06,4.5284625e-05,0.00047389636,0.004926601,3.9844166e-05,0.9943982
9.650525e-05,6.3619523e-06,3.134687e-05,0.00046291124,0.004349314,4.4610493e-05,0.99500895
9.5373165e-05,6.144692e-06,2.874643e-05,0.00041645643,0.0039909403,3.7233225e-05,0.99542516
0.00011713845,7.756372e-06,3.8931197e-05,0.00043147008,0.0044983313,5.567826e-05,0.9948507
0.00011499814,7.513273e-06,3.7611608e-05,0.00046478986,0.004323706,5.3100743e-05,0.99499834
0.00014825288,8.864534e-06,4.298224e-05,0.0006469395,0.005807494,3.479938e-05,0.9933107
0.0001423956,8.702555e-06,4.182528e-05,0.0006667147,0.0057052155,3.500994e-05,0.9934002
0.00013981857,1.084135e-05,4.8027312e-05,0.00055869087,0.0049269134,4.5023564e-05,0.9942707
0.0001410943,1.0765437e-05,4.4453383e-05,0.00055959116,0.0045589535,4.2813477e-05,0.9946424
8.291639e-05,7.632037e-06,3.7655587e-05,0.0005986295,0.0046219826,3.3762204e-05,0.9946174
8.6175016e-05,7.646667e-06,3.8271708e-05,0.00059317495,0.0048144828,3.3485183e-05,0.9944267
