anger,disgust,fear,happiness,sadness,surprise,neutral
0.27840272,0.0057168375,0.00781506,0.02512167,0.0029224046,0.082453266,0.597568
0.22282812,0.0062038456,0.0051338505,0.02438551,0.0021931026,0.050400354,0.68885523
0.22086546,0.00660366,0.0052626026,0.02389172,0.002235476,0.052348606,0.68879247
0.2359348,0.0060178014,0.0049177497,0.021679621,0.0022662878,0.052134976,0.67704886
0.23056512,0.006198713,0.0051110815,0.022139067,0.0023257104,0.05448638,0.67917395
0.21905045,0.0060077254,0.0048809843,0.021428699,0.0024854923,0.052945577,0.69320107
0.22106592,0.0059233923,0.0048243734,0.02206441,0.0024500052,0.054247025,0.6894249
0.21331061,0.006409426,0.0048502274,0.021563686,0.0024480906,0.054357674,0.69706035
0.21043856,0.0071294312,0.0050495174,0.02119845,0.0024428295,0.04842162,0.7053195
0.21776564,0.0061191283,0.0052119344,0.022959473,0.0022451421,0.052585587,0.6931131
0.20823994,0.005404165,0.005133009,0.01777173,0.0023137156,0.055114638,0.7060228
