anger,disgust,fear,happiness,sadness,surprise,neutral
0.007860554,0.00025990122,0.0015822658,0.0026513324,0.010806928,0.0048251343,0.9720139
0.009038646,0.00025690452,0.0016353985,0.0026843462,0.011776975,0.005371225,0.9692365
0.009743962,0.0002851542,0.0017482997,0.0028092654,0.012077103,0.0057468964,0.96758926
0.009316142,0.00027296846,0.0017487091,0.002608789,0.012612037,0.0043767598,0.9690646
0.008701564,0.00027029112,0.0015638887,0.0028276162,0.012588413,0.0041695167,0.96987873
0.0104702385,0.00023639169,0.0016208597,0.0025622307,0.011535306,0.004745605,0.96882933
0.011019178,0.00024417997,0.0016719017,0.0025182094,0.0120600825,0.004717131,0.9677693
0.010895626,0.0002898441,0.0018707488,0.0026878696,0.01213575,0.0048422436,0.9672779
0.008486254,0.00020580192,0.001164862,0.0021405353,0.012760801,0.0055031613,0.96973854
0.0079661915,0.00019178583,0.000844348,0.0019224475,0.013793201,0.0034874307,0.9717946
0.0074100876,0.00019054541,0.00080341665,0.0019224876,0.013476086,0.0031461606,0.9730512
0.0054054675,0.00018391447,0.0005848428,0.0020907125,0.014352618,0.002101833,0.97528064
0.005075141,0.00016079278,0.0006011024,0.0019492422,0.013236077,0.0022036987,0.976774
0.0051417737,0.00016573846,0.0005746776,0.0021980265,0.0129001755,0.0024876886,0.97653186
0.0048051653,0.00015408588,0.0005738341,0.002113283,0.012994502,0.0025051262,0.976854
0.0041463273,0.00013744048,0.0005597123,0.0020581263,0.012104531,0.002647623,0.9783463
0.0043766983,0.00013612477,0.0005712222,0.0020295952,0.011806746,0.0027186659,0.978361
0.0065221777,0.00017105306,0.00057879253,0.0019959612,0.012548254,0.0021555868,0.9760282
0.006652793,0.0001593519,0.00056335365,0.00189947,0.0123251695,0.0021416645,0.9762582
0.007242875,0.00019740658,0.0005780529,0.001935273,0.012539224,0.0019776234,0.97552955
0.008008597,0.00020303755,0.00058369536,0.0019975854,0.011627076,0.0022637993,0.9753162
0.007283257,0.0001906118,0.00051508495,0.0020836971,0.011246113,0.0018949801,0.97678626
0.0069056116,0.00017888525,0.0005198721,0.002029492,0.010702242,0.0020310003,0.9776328
0.0070003117,0.00018371722,0.00049853243,0.0020406153,0.009632031,0.0017199412,0.9789249
0.00681235,0.00018706129,0.00049787556,0.0020482133,0.00967626,0.0016770978,0.9791012
