anger,disgust,fear,happiness,sadness,surprise,neutral
0.33200762,0.0030165343,0.0013473084,0.0010501978,0.09086479,0.0022770765,0.56943643
0.43326354,0.0039918837,0.0016645591,0.00092033664,0.08580545,0.0023139964,0.47204018
0.43077603,0.003875889,0.0017251071,0.00092408806,0.085497856,0.0022753472,0.47492576
0.44158033,0.004594984,0.0025384119,0.0010472586,0.094930865,0.0032467137,0.45206147
0.441515,0.004751924,0.0025421912,0.0010510975,0.092844665,0.0032217505,0.4540735
0.44212773,0.004806365,0.0019150827,0.0009778748,0.0972269,0.0029635169,0.4499825
0.45536885,0.0044884286,0.0016465429,0.0009145127,0.100000285,0.0025448538,0.43503657
0.48527583,0.004562117,0.0017219015,0.00081766915,0.09511826,0.0025926188,0.40991166
0.34503797,0.0018788046,0.0009453843,0.00064058404,0.11997538,0.0015013688,0.5300206
0.50448376,0.006564199,0.0021112682,0.00084439333,0.08276037,0.0030657577,0.40017033
0.35127664,0.006373536,0.0015084352,0.0007302871,0.12832107,0.0015965357,0.51019347
0.26832798,0.0069144787,0.002983691,0.0008864939,0.14550532,0.0024808159,0.5729012
0.5405471,0.006376214,0.0020800312,0.000780855,0.10192839,0.0025896754,0.34569782
0.54949844,0.005493051,0.0016885637,0.0007483865,0.09680348,0.0026080383,0.34315997
0.3691934,0.0038960183,0.0013090611,0.0006933359,0.13009727,0.0016745016,0.49313644
0.28398147,0.004915334,0.002955675,0.00083900476,0.15815493,0.0025924528,0.5465612
0.29026103,0.0058890986,0.0028716328,0.0008297874,0.15366207,0.002856896,0.5436295
0.2831044,0.0060373787,0.002960297,0.001007639,0.1559848,0.002716485,0.54818904
0.28539807,0.0055726143,0.0028035964,0.0009052788,0.16280054,0.0026209555,0.539899
0.34989724,0.0041840295,0.0014177463,0.00053442334,0.13812666,0.001656566,0.5041833
0.21127959,0.004319894,0.0029843817,0.0007791401,0.16801532,0.0023838687,0.6102378
0.32234713,0.0044307983,0.0013371119,0.00061879604,0.13336834,0.0017671268,0.5361307
0.3069494,0.0044679577,0.0014205059,0.0006020898,0.13212521,0.0018320765,0.55260277
0.33245224,0.0049682264,0.0012509336,0.00063554035,0.13103819,0.0016363228,0.5280186
0.31428358,0.0050460147,0.0013752333,0.0006600673,0.13693458,0.0018200465,0.5398805
0.2716172,0.0044017034,0.0014578399,0.000712566,0.13205095,0.001949205,0.58781046
0.2707629,0.0040339143,0.0013127702,0.00073874387,0.13035369,0.0018257166,0.5909723
0.2410457,0.0031323275,0.0011823868,0.00084187905,0.12035802,0.0016056368,0.63183403
0.24573487,0.0027386989,0.0011014339,0.000801329,0.12252791,0.0014877664,0.625608
0.3131857,0.003186114,0.0010233765,0.0006960639,0.13555242,0.0014532419,0.54490316
0.3131318,0.003108633,0.0009921817,0.0007817562,0.1311896,0.0015126468,0.5492833
0.22731102,0.004317273,0.001944899,0.0007247029,0.14732307,0.0022300046,0.61614907
0.23692688,0.004103681,0.001898646,0.0007067096,0.1462134,0.0023590822,0.6077916
0.31316248,0.0026286796,0.00086880795,0.00077703653,0.1249139,0.0015144154,0.5561347
0.34155485,0.0026532058,0.00083409314,0.0007647247,0.1192806,0.0014703058,0.53344226
0.33490527,0.0025771197,0.00078536494,0.0007772118,0.117482446,0.0013478888,0.5421246
0.34908342,0.0026406026,0.0007937969,0.00070084,0.115485184,0.001432896,0.5298633
0.3097083,0.0023603942,0.0008176749,0.0007588879,0.123027086,0.001390713,0.5619369
0.3083567,0.0022657148,0.0008103803,0.00074135885,0.12578566,0.0013884971,0.56065166
0.3004129,0.0030796612,0.0013462591,0.00079474074,0.12827063,0.0018483008,0.5642475
0.2769743,0.0030623972,0.0014389296,0.0008000898,0.1253895,0.0019616622,0.5903731
0.31736833,0.002617524,0.0013809775,0.00072839827,0.10678751,0.001828299,0.5692889
0.33270216,0.002620498,0.0013824134,0.0006927347,0.10943339,0.0018367639,0.551332
0.31928682,0.0027646222,0.0015214372,0.00072768104,0.11501458,0.0019246503,0.5587602
0.32935104,0.0029938922,0.0015290008,0.00069471245,0.114156015,0.002038597,0.54923666
0.35240373,0.0038674101,0.0016490904,0.0006768282,0.110174745,0.002395177,0.52883315
0.3522473,0.0036698454,0.0016031603,0.00068843464,0.110603936,0.0023499655,0.5288374
0.273542,0.0032277184,0.0029510166,0.00080825196,0.10568265,0.0033913911,0.6103969
0.27907032,0.0032136175,0.0030062345,0.0009000256,0.11051283,0.0036446415,0.5996524
0.33708334,0.003620547,0.0017683968,0.00073784916,0.10855513,0.002330489,0.54590434
0.33220887,0.0032212017,0.0016802102,0.0006993692,0.11034741,0.0023483175,0.5494946
0.38882917,0.004854516,0.0023594196,0.001158005,0.084147,0.0039094375,0.5147425
0.39222324,0.004854095,0.0023483515,0.0011771284,0.085216366,0.0038498878,0.5103309
0.33134258,0.0026506407,0.0020596015,0.00088051404,0.099073075,0.0027812459,0.56121236
0.4762862,0.0040372857,0.001355435,0.00092922105,0.085085854,0.0024362104,0.42986974
0.34237,0.0025775717,0.001828929,0.00086402294,0.10533504,0.0024262555,0.54459816
0.38358504,0.0036544788,0.0014506184,0.00069521397,0.11902614,0.002170395,0.48941806
0.41660234,0.0037332373,0.0014130332,0.0009127658,0.09700625,0.0025362659,0.47779605
0.41002867,0.0036141325,0.0014331694,0.00089875876,0.099011414,0.0025104808,0.48250332
0.24750896,0.002176128,0.0012259805,0.0005993134,0.12613468,0.0014864224,0.6208685
0.24375167,0.0020094598,0.0012414434,0.0005559342,0.12835777,0.0014481451,0.62263554
