anger,disgust,fear,happiness,sadness,surprise,neutral
0.00035626543,1.47907795e-05,0.00013943574,0.0050738635,0.0027209064,0.0028283359,0.9888664
0.0003848972,1.6229755e-05,0.00014729066,0.004585818,0.0026913972,0.0027804591,0.9893939
0.00036712937,1.5455073e-05,0.00013342273,0.0046503833,0.0026575217,0.0025659306,0.9896102
0.00037714455,1.5267822e-05,0.0001067616,0.0047203284,0.0027465757,0.0018515242,0.99018234
0.00038020837,1.5563252e-05,0.000109673965,0.0047610793,0.0028056672,0.0019163777,0.9900114
0.00031010679,1.3250965e-05,9.6412434e-05,0.005221173,0.002670816,0.0018847075,0.98980355
0.00032044732,1.6635999e-05,0.00013088794,0.0043624477,0.0036028035,0.0014001983,0.99016654
0.0003446898,1.609561e-05,0.00013584642,0.0043229335,0.003419223,0.0013371602,0.990424
0.000357309,1.6497213e-05,0.00013543949,0.0042684022,0.003272657,0.0014292046,0.9905205
0.0003092428,1.3796475e-05,0.00010133566,0.0044190004,0.0029564179,0.0016057962,0.9905944
0.0003139618,1.3862502e-05,0.00010214031,0.004725806,0.0029467202,0.0016929896,0.9902046
0.00028449087,1.4681888e-05,0.00010057334,0.004566474,0.0028758305,0.0017429191,0.990415
0.00029514538,1.4651379e-05,0.00010217982,0.0048538074,0.0028430368,0.0016682029,0.99022305
0.00026203966,1.5397782e-05,9.841774e-05,0.003990261,0.002668317,0.0017215392,0.9912441
0.00025660338,1.5151667e-05,9.6885946e-05,0.0041293283,0.0027195306,0.0015162531,0.9912662
0.00026439305,1.4895906e-05,9.755973e-05,0.004468719,0.0026206875,0.0016268423,0.99090695
0.00024285153,1.4778661e-05,9.756411e-05,0.004727819,0.002607256,0.0016389126,0.9906708
0.00030065805,1.7274651e-05,0.00013577526,0.0059070154,0.003329216,0.0017830897,0.98852694
0.00029964588,1.7222146e-05,0.00013338885,0.0059365374,0.0033286049,0.0017387789,0.98854584
0.00032048914,1.8990535e-05,0.00012563601,0.0063365297,0.0035654285,0.0015465155,0.98808646
0.00032637749,1.9559075e-05,0.0001331879,0.006574356,0.003746055,0.0016758827,0.9875246
0.0002872416,1.6233043e-05,0.00010664633,0.0059638442,0.0032658684,0.0015525772,0.9888076
0.00026355757,1.540149e-05,0.000108257096,0.005405378,0.0032926416,0.0014326255,0.98948216
0.00025086533,1.6275084e-05,0.00010563764,0.0050982917,0.003492185,0.0014129847,0.9896237
0.000261889,1.7369692e-05,0.00011173558,0.005361436,0.003438706,0.0016149001,0.9891939
0.0002572785,1.6786122e-05,0.00010324814,0.0053458996,0.0032811721,0.0014520634,0.98954356
0.00025505217,1.6595937e-05,0.00010256195,0.005366316,0.0032231365,0.0014711785,0.98956513
0.000313216,1.6661219e-05,8.729222e-05,0.004505034,0.0029830274,0.0013298389,0.990765
0.00029898915,1.7863327e-05,9.477615e-05,0.004843694,0.0031211667,0.0014610887,0.9901625
0.00025634057,1.7153205e-05,8.6139895e-05,0.004579723,0.0026145114,0.0014857021,0.9909604
0.00025627107,1.8069593e-05,8.93654e-05,0.004647762,0.0025871503,0.0015706997,0.99083066
0.00029154017,1.356634e-05,9.277147e-05,0.005230269,0.0021692293,0.0017626157,0.99044
0.00029383297,1.3961338e-05,9.198047e-05,0.0051767817,0.0020988905,0.0018200928,0.99050444
0.000259167,1.7737962e-05,0.000105437226,0.005192612,0.0019383362,0.0033783605,0.9891083
0.00026726312,1.8082557e-05,0.00010902983,0.0052901125,0.0019167386,0.003529669,0.9888691
0.00030224607,1.8431521e-05,0.00011607317,0.0061757565,0.001843459,0.0033687823,0.9881753
0.00031382556,1.9020355e-05,0.00012080029,0.0060303425,0.0018636431,0.003466784,0.98818564
0.00035922875,2.002894e-05,0.00012154975,0.0060751117,0.0018137357,0.0033829764,0.9882274
0.00035130436,2.0182497e-05,0.00012448119,0.006120877,0.001864979,0.0034306678,0.98808753
0.00040203857,2.5275589e-05,0.00014353903,0.005811102,0.0019730895,0.0030681787,0.9885768
0.00040107736,2.349545e-05,0.00013169859,0.0056830808,0.0018773725,0.0029274002,0.9889559
0.0003979507,2.1434013e-05,0.0001347317,0.00697356,0.0020325275,0.0029723719,0.98746747
0.00039724552,2.1247532e-05,0.00013177484,0.0068614176,0.0020214447,0.002933421,0.98763347
0.0005558388,2.1151593e-05,0.00011787312,0.006762645,0.003104859,0.0011477681,0.98828983
0.0005796237,2.2243457e-05,0.000119979064,0.0070299236,0.0031176524,0.0012151444,0.9879154
0.00067810534,2.1067683e-05,0.00011950143,0.0061899107,0.003016129,0.0014724637,0.9885028
0.0006445139,2.2107653e-05,0.00013107543,0.0062976116,0.0029848993,0.0017486234,0.9881712
0.0006955801,2.2970007e-05,0.00014275376,0.005632375,0.0033190679,0.0016539581,0.9885334
0.0006895159,2.4510055e-05,0.00014677632,0.0056228857,0.0035686244,0.0017042703,0.9882434
0.0006940179,2.731917e-05,0.00015022006,0.005205115,0.0035274073,0.0022391349,0.98815674
0.00068609667,2.8059625e-05,0.0001546515,0.005388869,0.0034117934,0.002424324,0.9879062
0.00055239105,2.5500003e-05,0.0001685853,0.0057414314,0.0033702774,0.0024613966,0.98768044
0.0005402344,2.618847e-05,0.00016239785,0.005849898,0.0034323458,0.002400054,0.98758894
0.0005105791,2.871216e-05,0.00017584724,0.005826605,0.0034619574,0.0034084506,0.9865878
0.00050840736,2.9007448e-05,0.0001766409,0.0058315187,0.0034589523,0.0033993383,0.98659617
0.00050279975,2.8611807e-05,0.00016230698,0.0057092304,0.0032387509,0.0033049895,0.98705333
0.00050795346,2.8416334e-05,0.00017357682,0.005940065,0.003423522,0.0035134011,0.9864131
0.0005457315,2.7450078e-05,0.00017942015,0.006157554,0.0034964506,0.0035542494,0.98603916
0.0005514036,2.7984044e-05,0.0001829895,0.0062048086,0.0034638103,0.0035925424,0.98597646
0.0006375273,3.3379278e-05,0.00026188372,0.007905315,0.0035645354,0.0050536627,0.98254365
0.00063341507,3.312987e-05,0.00024543944,0.007625522,0.0034977603,0.004791562,0.98317313
0.0005928084,3.2238007e-05,0.00023140287,0.006234744,0.0035857556,0.004750606,0.9845724
0.00059822074,3.279272e-05,0.0002323655,0.006280846,0.0036171102,0.0048408513,0.9843978
0.0006131553,3.512839e-05,0.00024808847,0.006468202,0.0037864004,0.004963348,0.98388565
0.0006039399,3.1946496e-05,0.00024526214,0.0058025657,0.0037813708,0.005188735,0.9843462
0.0005592377,2.911437e-05,0.00019607974,0.0059798094,0.0035626406,0.003637487,0.9860356
0.0005529605,2.9739782e-05,0.00020179163,0.0060709463,0.0035568238,0.0039328723,0.9856549
0.00040469063,2.3585266e-05,0.00017619954,0.006019361,0.0019222419,0.006761415,0.98469245
0.00038629174,2.3953511e-05,0.00019098887,0.006023009,0.001999258,0.007254605,0.9841219
0.00032884866,2.030536e-05,0.0001418816,0.0065635676,0.00235119,0.0038354695,0.98675877
0.00033148236,2.0473573e-05,0.00013948756,0.0062407986,0.0022996592,0.0035626735,0.98740536
0.0003273273,1.9335963e-05,0.00013190604,0.0061075124,0.0021781763,0.003592377,0.98764336
0.00032810867,1.9221809e-05,0.00013100219,0.0060781934,0.0021673902,0.0036127032,0.9876633
