user_id,stimuli,label,ground_truth_rating,fixation_count_total,fixation_count_per_word,fixation_count_per_image,fixation_duration_avg,fixation_duration_total,fixation_duration_std,fixation_duration_max,fixation_duration_per_word,fixation_duration_per_image,saccade_count_total,saccade_duration_total,saccade_duration_avg,saccade_duration_std,saccade_length_avg,saccade_length_std,saccade_velocity_max,scanpath_length,scanpath_duration_total,overall_pupil_diameter_mean,overall_pupil_diameter_std,num_aoi_transitions,fixation_rate,relative_saccade_angles_avg,relative_saccade_angles_std,absolute_saccade_angles_avg,absolute_saccade_angles_std,pupil_width_l_avg,pupil_width_l_std,pupil_width_l_max,pupil_width_l_min,pupil_width_r_avg,pupil_width_r_std,pupil_width_r_max,pupil_width_r_min,first_fixation_pupil_width_l,last_fixation_pupil_width_l,first_fixation_pupil_width_r,last_fixation_pupil_width_r
A01,102281,False,False,10,6.0,4.0,345.6,3456.0,171.9348713903029,792.0,1616.0,1840.0,6,432.0,72.0,81.78019320104349,312.2276323872624,411.3564306954054,12.401337713186413,1873.3657943235744,3888.0,3.2001986503601074,0.1793418982358793,2,220.4843592330979,0.2763967359385454,1.6426219313581734,1.371259633489273,0.9456473880782424,3.232685089111328,0.3088435670584809,3.446044921875,2.143905639648437,3.1677122116088867,0.0947388618419882,3.3035430908203125,2.983154296875,3.446044921875,3.2402801513671875,3.2589263916015625,3.131256103515625
A01,106490,True,True,18,12.0,6.0,243.55555555555557,4384.0,89.6622566158019,432.0,2692.0,1692.0,8,568.0,71.0,103.48774944752778,428.0581103349282,320.5363622267307,46.86044717281443,3424.464882679426,4952.0,2.9460372924804688,0.1750197547646811,3,214.5608628659476,-1.6041732669406077,1.7984454056645385,2.293135686857984,0.7411521228338708,2.9573546189528246,0.2192977612196556,3.29254150390625,2.257919311523437,2.934719966008113,0.1537337140884192,3.320037841796875,2.7784423828125,3.19317626953125,2.9651641845703125,3.1533660888671875,2.7982330322265625
A01,106646,False,False,26,5.0,21.0,419.2307692307692,10900.0,277.0681226979831,1280.0,1104.0,9796.0,7,272.0,38.85714285714285,46.68843029926711,288.9254700109991,259.36901706073263,15.289227861719448,2022.4782900769935,11172.0,3.092264175415039,0.099887124299651,1,243.45132743362836,0.0595638343994083,2.1008155804912167,1.8331508635570768,1.0278773589504495,3.1283005223129736,0.114452926227291,3.32891845703125,2.795806884765625,3.04583740234375,0.1037720425778435,3.2525177001953125,2.8531494140625,3.31591796875,3.0876617431640625,3.2066650390625,2.9673309326171875
A01,106756,False,False,26,11.0,15.0,284.0,7384.0,124.1160747042864,628.0,2464.0,4920.0,8,364.0,45.5,31.05295017040594,269.6492429136477,208.316783706182,13.644827150432176,2157.193943309182,7748.0,3.2903976440429688,0.1462838961577842,4,237.5634517766497,-0.3786693634128157,2.17473795298005,1.9478720305397148,1.038590488864795,3.328044544566761,0.1578533068060178,3.722320556640625,3.0949249267578125,3.2468535479377296,0.140067279512411,3.50762939453125,3.051239013671875,3.550201416015625,3.61517333984375,3.4747772216796875,3.4847869873046875
A01,109141,True,True,26,17.0,9.0,246.6153846153846,6412.0,126.38958087534807,608.0,3568.0,2844.0,8,324.0,40.5,46.37425394086064,230.20870806853105,149.70414584529283,13.698784733735508,1841.669664548248,6736.0,3.0669254976160385,0.1563696105423406,5,237.18695398951655,-0.3570428554725336,1.897367402822164,1.65846381059065,0.9884232144669836,3.1155929565429688,0.1520420879453,3.32958984375,2.8126220703125,3.018258038689108,0.1630917248640918,3.249359130859375,2.6942901611328125,3.3084716796875,3.2264556884765625,3.174072265625,3.147323608398437
A01,114219,True,True,21,9.0,12.0,276.0,5796.0,100.54252831513637,496.0,2232.0,3564.0,11,560.0,50.90909090909091,61.05973230444848,327.55953070758574,244.33942091912547,17.348038706606985,3603.154837783443,6356.0,3.4297920965379283,0.1264953267886755,2,226.85185185185185,-0.9744534956059164,1.917608933961466,1.9023396471630905,1.0039360066950618,3.4475304388230845,0.1239156213430617,3.660736083984375,3.1959686279296875,3.412555694580078,0.1352736524306038,3.7481536865234375,3.155502319335937,3.658172607421875,3.660736083984375,3.6144866943359375,3.6076507568359375
A01,121358,False,False,21,10.0,11.0,264.1904761904762,5548.0,208.77730217809096,1040.0,1668.0,3880.0,9,804.0,89.33333333333333,124.64349160706308,161.91986295993698,153.26612157124023,14.992680717195142,1457.278766639433,6352.0,3.2910837244104454,0.1107965149833124,2,217.55253399258345,-0.1225876597393498,1.9676169573136328,1.7570868729813576,0.893974242260437,3.305201212565104,0.1248507627548226,3.549667358398437,3.051254272460937,3.247775268554688,0.1347440699506818,3.487274169921875,2.937042236328125,3.549667358398437,3.295562744140625,3.48223876953125,3.2209625244140625
A01,123622,False,True,24,20.0,4.0,251.16666666666663,6028.0,117.59313299481494,628.0,5064.0,964.0,10,204.0,20.4,10.574602698079122,235.1150315778908,161.22780259723888,18.5295617469014,2351.1503157789075,6232.0,3.567026699290556,0.1055246212574788,5,240.57196731615332,-1.3433392764962548,1.6470867231864468,1.8697638529491225,1.010662267861722,3.5788861443014706,0.105330221367661,3.798660278320313,3.3723907470703125,3.5551672542796418,0.1117699656645155,3.734939575195313,3.36322021484375,3.5855255126953125,3.6218109130859375,3.5061492919921875,3.5769195556640625
A01,127620,False,False,16,9.0,7.0,234.0,3744.0,69.1895945934069,332.0,1984.0,1760.0,9,248.0,27.55555555555556,22.84245559868242,246.25106732078305,207.13771518018416,14.021738734841156,2216.259605887047,3992.0,3.1941943359375,0.1628066683917443,2,232.8767123287671,-0.7581158626173241,1.7681816595566229,1.5338802658548607,1.1612137496453627,3.2472320556640626,0.1770008435707832,3.5504150390625,3.0081024169921875,3.141156616210937,0.15119770690146,3.3980255126953125,2.878570556640625,3.304534912109375,3.4252471923828125,3.14947509765625,3.301727294921875
A01,129862,True,True,29,14.0,15.0,267.3103448275862,7752.0,115.16978257222677,624.0,4000.0,3752.0,16,284.0,17.75,11.497825881443848,204.7037897141019,174.13584165699953,15.513416278941516,3275.2606354256304,8036.0,3.2917178683810766,0.0995759826334722,6,239.52752070141256,0.1260971178751807,1.816269024487302,1.6412944170750694,0.7879633804477787,3.3089894612630206,0.1143952003205102,3.5862579345703125,3.0425567626953125,3.274446275499132,0.0905367159734966,3.4600067138671875,3.0781402587890625,3.2922515869140625,3.37933349609375,3.273895263671875,3.349945068359375
